time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-21T10:30:42.960Z,38.776165,-122.7289963,2.23,0.9,md,15,92,0.009293,0.03,nc,nc72414965,2015-03-21T10:45:06.427Z,"2km E of The Geysers, California",earthquake
2015-03-21T10:14:42.790Z,40.251667,-124.3018341,16.58,1.75,md,6,223,0.0279,0.07,nc,nc72414955,2015-03-21T12:14:05.583Z,"32km SSW of Rio Dell, California",earthquake
2015-03-21T10:08:51.810Z,36.3603,-97.0989,5,4,mb_lg,,80,0.367,0.53,us,us10001pd7,2015-03-21T12:13:23.646Z,"18km ENE of Perry, Oklahoma",earthquake
2015-03-21T10:06:40.820Z,33.9305,-116.0258333,2.28,1.58,ml,49,47,0.0736,0.22,ci,ci37344960,2015-03-21T10:10:51.985Z,"24km S of Twentynine Palms, California",earthquake
2015-03-21T09:54:02.690Z,34.114,-117.0078333,5.35,0.85,ml,16,84,0.06309,0.22,ci,ci37344952,2015-03-21T09:58:11.539Z,"10km NNE of Yucaipa, California",earthquake
2015-03-21T09:51:12.000Z,62.3895,-151.1532,85.3,1.5,ml,,,,0.35,ak,ak11532938,2015-03-21T10:14:28.948Z,"54km W of Talkeetna, Alaska",earthquake
2015-03-21T09:44:56.300Z,19.0228,-155.456,38.5,2.4,md,,208.799983296001,0.1347473,0.17,hv,hv60877066,2015-03-21T09:48:11.000Z,"20km S of Pahala, Hawaii",earthquake
2015-03-21T09:33:27.000Z,62.8426,-149.57,57.9,1.1,ml,,,,0.44,ak,ak11532908,2015-03-21T09:55:07.207Z,"64km NNE of Talkeetna, Alaska",earthquake
2015-03-21T09:32:11.000Z,33.4986667,-116.5861667,12.11,0.02,ml,19,83,0.01397,0.17,ci,ci37344944,2015-03-21T09:36:22.919Z,"10km SE of Anza, California",earthquake
2015-03-21T09:17:59.770Z,38.8361664,-122.8010025,2.21,0.43,md,8,114,0.00862,0.07,nc,nc72414940,2015-03-21T09:48:04.328Z,"6km WNW of Cobb, California",earthquake
2015-03-21T09:17:47.560Z,38.8338318,-122.7994995,2.73,0.43,md,8,99,0.008486,0.02,nc,nc72414935,2015-03-21T09:37:04.311Z,"6km W of Cobb, California",earthquake
2015-03-21T09:12:39.250Z,38.8336678,-122.8013306,2.78,0.93,md,13,107,0.0098,0.02,nc,nc72414930,2015-03-21T09:27:05.293Z,"6km W of Cobb, California",earthquake
2015-03-21T08:48:40.000Z,62.1465,-149.4629,19.6,1.4,ml,,,,0.9,ak,ak11532900,2015-03-21T09:14:26.943Z,"20km E of Y, Alaska",earthquake
2015-03-21T08:38:06.780Z,33.2951667,-116.7486667,11.99,0.75,ml,32,43,0.05963,0.3,ci,ci37344936,2015-03-21T08:42:15.889Z,"6km NNE of Lake Henshaw, California",earthquake
2015-03-21T08:36:12.710Z,36.6351662,-121.2623367,4.08,1.17,md,10,95,0.03245,0.08,nc,nc72414915,2015-03-21T11:59:03.595Z,"21km NE of Gonzales, California",earthquake
2015-03-21T07:46:40.140Z,33.9286667,-116.0276667,3.44,1.13,ml,34,52,0.07582,0.21,ci,ci37344920,2015-03-21T07:50:39.930Z,"24km S of Twentynine Palms, California",earthquake
2015-03-21T07:45:31.130Z,35.8058,-97.4297,6.15,2.7,mb_lg,,42,0.022,0.56,us,us10001pcq,2015-03-21T10:39:05.526Z,"8km S of Guthrie, Oklahoma",earthquake
2015-03-21T07:36:07.000Z,62.141,-148.0094,35.3,1,ml,,,,0.14,ak,ak11532869,2015-03-21T08:01:19.735Z,"58km NE of Sutton-Alpine, Alaska",earthquake
2015-03-21T07:34:57.550Z,33.758,-116.3356667,1.1,0.62,ml,16,230,0.1153,0.2,ci,ci37344912,2015-03-21T07:38:44.766Z,"5km NNW of Indian Wells, California",earthquake
2015-03-21T07:33:28.000Z,60.2352,-141.139,2.1,1.9,ml,,,,0.84,ak,ak11532865,2015-03-21T08:01:21.483Z,"74km ENE of Cape Yakataga, Alaska",earthquake
2015-03-21T07:32:26.610Z,33.9281667,-116.0271667,2.92,2.48,ml,58,47,0.07615,0.25,ci,ci37344904,2015-03-21T07:43:39.670Z,"24km S of Twentynine Palms, California",earthquake
2015-03-21T07:29:31.000Z,59.3659,-152.6869,70.1,2.4,ml,,,,0.74,ak,ak11532862,2015-03-21T08:01:20.885Z,"66km SW of Anchor Point, Alaska",earthquake
2015-03-21T07:27:46.930Z,36.6421661,-121.2570038,4.56,2.16,md,42,64,0.05592,0.05,nc,nc72414885,2015-03-21T11:12:11.467Z,"21km SSE of Ridgemark, California",earthquake
2015-03-21T07:26:28.240Z,36.0435,-117.5703333,7.43,0.84,ml,11,105,0.06747,0.16,ci,ci37344896,2015-03-21T07:30:19.169Z,"32km ENE of Little Lake, California",earthquake
2015-03-21T07:08:26.300Z,19.7064,-66.0494,39,3.4,Md,9,298.8,1.38879543,0.12,pr,pr15080002,2015-03-21T11:59:51.204Z,"137km N of San Juan, Puerto Rico",earthquake
2015-03-21T06:55:03.000Z,61.8628,-150.1056,30.4,1.3,ml,,,,0.32,ak,ak11532836,2015-03-21T07:18:56.864Z,"13km NNW of Willow, Alaska",earthquake
2015-03-21T06:51:58.490Z,38.793499,-122.758667,1.62,0.54,md,11,71,0.01998,0.01,nc,nc72414870,2015-03-21T07:06:07.005Z,"1km N of The Geysers, California",earthquake
2015-03-21T06:42:47.000Z,61.7879,-148.5221,31,1.5,ml,,,,0.46,ak,ak11532830,2015-03-21T07:18:54.676Z,"17km E of Sutton-Alpine, Alaska",earthquake
2015-03-21T06:42:02.000Z,63.3982,-150.2632,118.6,1.8,ml,,,,0.49,ak,ak11532831,2015-03-21T07:18:57.499Z,"65km W of Cantwell, Alaska",earthquake
2015-03-21T06:39:27.700Z,18.5179,-67.4363,10,2.5,Md,8,313.2,0.3117154,0.1,pr,pr15080001,2015-03-21T08:01:48.055Z,"27km NW of Rincon, Puerto Rico",earthquake
2015-03-21T06:38:06.220Z,33.4583333,-116.56,8.98,0.48,ml,16,253,0.05059,0.09,ci,ci37344888,2015-03-21T06:41:46.722Z,"15km SE of Anza, California",earthquake
2015-03-21T06:07:22.000Z,60.0991,-140.6712,12.6,1.3,ml,,,,0.54,ak,ak11532827,2015-03-21T06:38:26.265Z,"81km NW of Yakutat, Alaska",earthquake
2015-03-21T05:52:51.190Z,31.0448,-103.1926,2.14,2.8,ml,,96,1.524,0.4,us,us10001pcg,2015-03-21T07:00:42.938Z,"34km WNW of Fort Stockton, Texas",earthquake
2015-03-21T05:43:55.000Z,61.1745,-151.4621,76.1,1.8,ml,,,,0.74,ak,ak11532823,2015-03-21T06:00:15.068Z,"54km N of Nikiski, Alaska",earthquake
2015-03-21T05:41:43.700Z,33.4675,-116.5641667,8.5,0.25,ml,18,145,0.04179,0.23,ci,ci37344864,2015-03-21T05:45:53.505Z,"14km SE of Anza, California",earthquake
2015-03-21T05:41:16.630Z,33.4721667,-116.5673333,9.06,0.59,ml,23,106,0.0368,0.12,ci,ci37344848,2015-03-21T05:45:04.507Z,"14km SE of Anza, California",earthquake
2015-03-21T05:31:41.990Z,32.8585,-116.03,3.7,0.86,ml,11,81,0.05846,0.18,ci,ci37344840,2015-03-21T05:35:40.421Z,"14km NNW of Ocotillo, California",earthquake
2015-03-21T05:07:42.880Z,37.4370003,-118.6524963,9.06,1.41,md,16,158,0.07475,0.04,nc,nc72414825,2015-03-21T09:44:05.319Z,"19km WNW of West Bishop, California",earthquake
2015-03-21T05:03:37.000Z,59.6167,-153.4225,200,2.5,ml,,,,,ak,ak11532796,2015-03-21T05:21:42.272Z,"85km E of Old Iliamna, Alaska",earthquake
2015-03-21T04:51:18.400Z,19.252,-155.3808,34.4,2,Md,,144,0.01796631,0.26,hv,hv60876971,2015-03-21T04:54:44.274Z,"11km ENE of Pahala, Hawaii",earthquake
2015-03-21T04:48:59.060Z,33.5141678,-116.4538345,9.14,1.3,ml,12,185,0.0776,0.09,ci,ci37344816,2015-03-21T04:51:20.171Z,"21km ESE of Anza, California",earthquake
2015-03-21T04:48:21.510Z,33.4471667,-116.5886667,10.63,0.49,ml,17,125,0.04874,0.17,ci,ci37344808,2015-03-21T04:52:37.965Z,"14km SSE of Anza, California",earthquake
2015-03-21T04:40:15.990Z,33.4588333,-116.4405,6.36,0.97,ml,35,60,0.06557,0.22,ci,ci37344800,2015-03-21T04:44:14.705Z,"23km NNW of Borrego Springs, California",earthquake
2015-03-21T04:36:14.110Z,37.4379997,-118.6536636,7.83,1.77,md,18,161,0.1112,0.03,nc,nc72414815,2015-03-21T08:50:07.211Z,"19km WNW of West Bishop, California",earthquake
2015-03-21T04:34:43.000Z,62.0588,-150.1073,11.9,1.6,ml,,,,0.82,ak,ak11532792,2015-03-21T05:03:00.918Z,"17km SW of Y, Alaska",earthquake
2015-03-21T04:29:35.830Z,36.6163333,-121.064,10.53,1.53,md,43,63,0.04019,0.17,nc,nc72414805,2015-03-21T10:43:05.426Z,"31km NE of Soledad, California",earthquake
2015-03-21T04:29:20.000Z,61.0888,-148.4486,0.5,1.6,ml,,,,0.53,ak,ak11532793,2015-03-21T05:03:01.498Z,"37km NNE of Whittier, Alaska",earthquake
2015-03-21T04:25:44.000Z,64.6074,-150.4143,6.8,1.2,ml,,,,0.8,ak,ak11532790,2015-03-21T04:43:18.471Z,"45km SSE of Manley Hot Springs, Alaska",earthquake
2015-03-21T04:20:48.100Z,37.436,-118.653,9.58,2.76,md,37,63,0.07514,0.04,nc,nc72414795,2015-03-21T12:23:32.495Z,"19km WNW of West Bishop, California",earthquake
2015-03-21T04:08:26.000Z,63.2491,-151.5561,7.2,1.5,ml,,,,0.33,ak,ak11532786,2015-03-21T04:43:17.798Z,"126km NW of Talkeetna, Alaska",earthquake
2015-03-21T04:05:22.330Z,38.8253333,-122.7983333,2.41,0.35,md,25,50,0.009373,0.02,nc,nc71090294,2015-03-21T06:10:04.875Z,"6km W of Cobb, California",earthquake
2015-03-21T04:05:21.630Z,38.8278351,-122.8148346,6.68,0.56,md,6,204,0.01938,0.02,nc,nc72414785,2015-03-21T04:52:05.696Z,"7km W of Cobb, California",earthquake
2015-03-21T04:04:44.100Z,38.748,-122.7131667,3.09,0.65,md,16,112,0.007372,0.09,nc,nc72414790,2015-03-21T06:00:05.835Z,"4km SE of The Geysers, California",earthquake
2015-03-21T03:55:08.470Z,36.6155,-121.0678333,9.48,0.98,md,24,67,0.04293,0.15,nc,nc72414780,2015-03-21T05:47:04.804Z,"31km NE of Soledad, California",earthquake
2015-03-21T03:43:10.600Z,18.7945,-65.26,8,2.8,Md,11,259.2,0.48419194,0.15,pr,pr15080000,2015-03-21T11:45:53.252Z,"54km N of Culebra, Puerto Rico",earthquake
2015-03-21T02:19:06.000Z,59.891,-152.1684,32.7,1.7,ml,,,,0.41,ak,ak11532758,2015-03-21T02:51:20.085Z,"22km NW of Anchor Point, Alaska",earthquake
2015-03-21T01:31:18.910Z,-0.3782,123.0821,82.9,4.9,mb,,43,0.728,0.93,us,us10001pbt,2015-03-21T09:33:48.406Z,"71km NNE of Luwuk, Indonesia",earthquake
2015-03-21T01:26:41.800Z,19.3162,-155.492,7.6,2.5,Ml,,39.6,0.06288207,0.25,hv,hv60876886,2015-03-21T09:29:24.914Z,"12km N of Pahala, Hawaii",earthquake
2015-03-21T01:22:18.480Z,33.5433333,-116.6523333,14.21,0.7,ml,28,43,0.02954,0.18,ci,ci37344688,2015-03-21T01:26:16.791Z,"2km ESE of Anza, California",earthquake
2015-03-21T01:21:10.000Z,64.2476,-149.8977,14.5,1.2,ml,,,,0.1,ak,ak11532743,2015-03-21T01:51:11.124Z,"52km SW of North Nenana, Alaska",earthquake
2015-03-21T00:44:00.040Z,2.4893,128.2913,160.38,4.8,mb,,110,1.94,1,us,us10001pbq,2015-03-21T08:46:28.040Z,"89km NNE of Tobelo, Indonesia",earthquake
2015-03-21T00:22:56.750Z,67.6653,142.5764,10,4.3,mb,,80,6.213,0.87,us,us10001pbp,2015-03-21T08:25:39.137Z,"130km WSW of Druzhina, Russia",earthquake
2015-03-21T00:09:01.030Z,38.8056667,-122.7925,1.36,0.36,md,13,92,0.003174,0.03,nc,nc72414745,2015-03-21T03:28:06.515Z,"4km NW of The Geysers, California",earthquake
2015-03-21T00:02:02.000Z,65.6676,-150.6361,3.6,1.3,ml,,,,1.16,ak,ak11532729,2015-03-21T00:24:32.565Z,"74km N of Manley Hot Springs, Alaska",earthquake
2015-03-20T23:48:49.560Z,38.8461685,-122.828331,2.45,0.43,md,7,72,0.009329,0.03,nc,nc72414740,2015-03-21T00:52:05.103Z,"9km WNW of Cobb, California",earthquake
2015-03-20T23:45:36.000Z,63.2972,-151.5514,0.2,1.4,ml,,,,0.68,ak,ak11532722,2015-03-21T00:05:51.919Z,"130km W of Cantwell, Alaska",earthquake
2015-03-20T23:38:12.710Z,33.4781667,-116.5678333,7.7,0.34,ml,12,237,0.03312,0.09,ci,ci37344616,2015-03-20T23:56:45.799Z,"13km SE of Anza, California",earthquake
2015-03-20T23:29:52.950Z,38.8143333,-122.8143333,3.62,1.36,md,47,85,0.009641,0.04,nc,nc72414735,2015-03-21T07:22:06.032Z,"6km NW of The Geysers, California",earthquake
2015-03-20T23:14:23.950Z,38.7739983,-122.7431641,1.21,0.73,md,13,84,0.01051,0.02,nc,nc72414730,2015-03-20T23:16:00.260Z,"1km ESE of The Geysers, California",earthquake
2015-03-20T23:11:38.200Z,-24.3319,-176.4863,60,4.7,mb,,128,5.06,1.49,us,us10001pbk,2015-03-21T07:14:10.440Z,"South of the Fiji Islands",earthquake
2015-03-20T23:10:17.200Z,34.0296667,-117.2015,13.69,1.25,ml,54,31,0.07421,0.3,ci,ci37344584,2015-03-20T23:46:33.590Z,"3km SSW of Redlands, California",earthquake
2015-03-20T23:09:58.000Z,61.2261,-147.1055,1.3,1.2,ml,,,,0.41,ak,ak11532711,2015-03-20T23:30:06.173Z,"42km WNW of Valdez, Alaska",earthquake
2015-03-20T23:06:55.000Z,64.9647,-147.3363,0,1.4,ml,,,,0.45,ak,ak11532708,2015-03-20T23:30:05.606Z,"20km NNE of Badger, Alaska",earthquake
2015-03-20T23:02:47.750Z,37.4563333,-118.8403333,7.49,0.78,md,17,187,0.09946,0.03,nc,nc72414725,2015-03-21T02:37:40.450Z,"24km SSE of Mammoth Lakes, California",earthquake
2015-03-20T22:58:23.400Z,17.9113,-66.8675,16,1.9,Md,6,226.8,0.06378039,0.37,pr,pr15079021,2015-03-21T00:18:09.881Z,"7km SSE of Guanica, Puerto Rico",earthquake
2015-03-20T22:48:44.900Z,37.4578333,-118.8388333,6.97,1,md,17,127,0.09786,0.03,nc,nc72414715,2015-03-20T23:29:04.987Z,"24km SSE of Mammoth Lakes, California",earthquake
2015-03-20T22:45:35.910Z,36.9356667,-121.3561667,5.99,0.7,md,18,99,0.05935,0.05,nc,nc72414710,2015-03-21T03:38:04.562Z,"10km NNE of Hollister, California",earthquake
2015-03-20T22:42:34.000Z,62.1786,-149.4514,35.9,1.4,ml,,,,0.47,ak,ak11532675,2015-03-20T23:09:51.548Z,"20km E of Y, Alaska",earthquake
2015-03-20T22:30:07.840Z,18.0729,-98.5224,51.79,5.3,mb,,54,0.509,0.93,us,us10001pbh,2015-03-21T07:34:31.870Z,"9km WNW of Tulcingo del Valle, Mexico",earthquake
2015-03-20T21:53:00.000Z,61.6509,-150.0204,34.9,1.7,ml,,,,0.75,ak,ak11532664,2015-03-20T22:26:23.200Z,"10km S of Willow, Alaska",earthquake
2015-03-20T21:47:24.400Z,19.6665,-66.0244,61,3.4,Md,8,316.8,1.2756077,0.31,pr,pr15079020,2015-03-21T00:14:21.372Z,"133km N of San Juan, Puerto Rico",earthquake
2015-03-20T21:43:02.750Z,37.325,-122.1123333,0.01,1.37,md,11,92,0.0182,0.04,nc,nc72414695,2015-03-21T02:24:35.610Z,"10km E of Quarry near Portola Valley, CA",quarry blast
2015-03-20T21:40:51.400Z,33.607,-116.8251667,7.78,0.42,ml,13,109,0.02971,0.26,ci,ci37344496,2015-03-20T23:45:53.699Z,"15km WNW of Anza, California",earthquake
2015-03-20T21:34:24.330Z,35.5353333,-120.8686667,1.82,1.14,md,36,71,0.03103,0.09,nc,nc72414690,2015-03-21T02:55:06.430Z,"10km NNE of Cayucos, California",earthquake
2015-03-20T21:27:41.370Z,38.7836685,-122.7429962,1.61,0.37,md,5,118,0.00492,0.02,nc,nc72414680,2015-03-20T21:45:06.696Z,"1km ENE of The Geysers, California",earthquake
2015-03-20T21:17:45.000Z,63.0113,-149.2529,94.9,1.6,ml,,,,0.63,ak,ak11532629,2015-03-20T21:49:09.795Z,"45km SSW of Cantwell, Alaska",earthquake
2015-03-20T21:10:02.800Z,36.1139,-97.2316,4.597,2.7,ml,,81,,0.72,us,us10001pbe,2015-03-21T10:28:00.284Z,"15km W of Stillwater, Oklahoma",earthquake
2015-03-20T21:07:14.960Z,33.648,-116.6926667,18.68,0.77,ml,24,63,0.02612,0.13,ci,ci37344448,2015-03-20T23:49:35.001Z,"10km N of Anza, California",earthquake
2015-03-20T21:03:30.270Z,33.54,-116.7806667,11.29,0.68,ml,22,66,0.0442,0.16,ci,ci37344440,2015-03-20T23:52:54.294Z,"10km W of Anza, California",earthquake
2015-03-20T20:58:44.867Z,41.8437,-119.6509,6.2035,1.52,ml,4,225.58,0.155,0.145,nn,nn00487582,2015-03-20T23:35:32.236Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-20T20:53:10.560Z,38.786335,-122.7229996,3.38,0.88,md,9,112,0.01116,0.01,nc,nc72414665,2015-03-20T21:20:05.626Z,"3km S of Cobb, California",earthquake
2015-03-20T20:46:55.580Z,38.7775002,-122.7283325,1.49,0.46,md,7,134,0.008709,0.01,nc,nc72414660,2015-03-20T21:03:06.595Z,"2km E of The Geysers, California",earthquake
2015-03-20T20:46:50.590Z,33.4753333,-116.5731667,8.2,0.29,ml,14,107,0.03101,0.1,ci,ci37344424,2015-03-20T23:42:52.874Z,"13km SE of Anza, California",earthquake
2015-03-20T20:32:36.680Z,38.801,-122.7733333,1.96,1.54,md,42,36,0.01064,0.03,nc,nc72414655,2015-03-21T04:17:04.624Z,"3km NNW of The Geysers, California",earthquake
2015-03-20T20:06:42.810Z,46.2311667,-122.1245,7.9,0.03,md,8,182,0.01597,0.12,uw,uw60986871,2015-03-20T20:23:14.090Z,"38km SSE of Morton, Washington",earthquake
2015-03-20T20:04:54.560Z,33.85,-117.5183333,0.01,1.78,ml,42,71,0.04385,0.17,ci,ci37344360,2015-03-20T23:08:54.884Z,"3km S of Home Gardens, California",quarry blast
2015-03-20T19:52:53.580Z,46.8944,155.7382,29.74,4.5,mb,,138,6.347,0.8,us,us10001pa6,2015-03-21T03:55:33.894Z,"East of the Kuril Islands",earthquake
2015-03-20T19:40:09.190Z,38.8236656,-122.8046646,3.05,0.89,md,21,56,0.004234,0.02,nc,nc72414625,2015-03-20T19:41:46.700Z,"6km NW of The Geysers, California",earthquake
2015-03-20T19:32:47.000Z,63.5685,-150.7502,13.8,0.7,ml,,,,0.76,ak,ak11532596,2015-03-20T20:37:19.946Z,"91km WNW of Cantwell, Alaska",earthquake
2015-03-20T19:21:49.640Z,47.3365,-117.792,0.01,2.3,md,13,265,0.5676,0.36,uw,uw60986846,2015-03-20T20:08:50.210Z,"23km SW of Cheney, Washington",explosion
2015-03-20T19:17:31.250Z,37.4898333,-118.8546667,7.26,0.49,md,7,121,0.1021,0.08,nc,nc72414620,2015-03-20T21:09:07.607Z,"20km SSE of Mammoth Lakes, California",earthquake
2015-03-20T19:16:30.850Z,46.9805,-122.2006667,0.01,1,md,7,160,0.01405,0.1,uw,uw60986836,2015-03-20T19:26:38.230Z,"10km SE of Graham, Washington",explosion
2015-03-20T19:07:14.300Z,33.9331667,-116.0295,3.47,0.86,ml,18,112,0.07212,0.15,ci,ci37344304,2015-03-20T23:00:29.492Z,"23km S of Twentynine Palms, California",earthquake
2015-03-20T17:56:49.160Z,36.5816667,-121.4175,2.09,1.26,md,33,49,0.02005,0.07,nc,nc72414580,2015-03-21T02:26:05.357Z,"8km NNE of Gonzales, California",earthquake
2015-03-20T17:44:34.730Z,38.8073333,-122.804,2.08,0.2,md,15,98,0.006824,0.03,nc,nc72414575,2015-03-21T01:45:06.249Z,"5km NW of The Geysers, California",earthquake
2015-03-20T17:17:14.150Z,33.2555,-116.0236667,6.09,1.64,ml,45,36,0.04007,0.2,ci,ci37344176,2015-03-20T22:51:38.300Z,"8km SW of Salton City, California",earthquake
2015-03-20T17:11:16.170Z,-6.0972,130.6008,129.24,4.6,mb,,41,1.997,0.87,us,us10001p7x,2015-03-21T01:13:48.923Z,"219km NNW of Saumlaki, Indonesia",earthquake
2015-03-20T17:06:56.090Z,11.164,-86.8964,46.98,4.2,mb,,192,1.081,0.78,us,us10001p8c,2015-03-21T01:09:26.893Z,"80km SSW of Masachapa, Nicaragua",earthquake
2015-03-20T16:58:39.000Z,51.895,-175.5763,193.1,3.4,ml,,,,0.81,ak,ak11532545,2015-03-21T01:01:06.050Z,"74km E of Adak, Alaska",earthquake
2015-03-20T16:50:03.680Z,33.434,-116.9185,18.7,0.52,ml,7,100,0.0928,0.15,ci,ci37344136,2015-03-20T22:41:11.860Z,"5km W of Aguanga, California",earthquake
2015-03-20T16:40:45.060Z,34.2041667,-117.5593333,12.24,1.19,ml,28,54,0.04895,0.21,ci,ci37344120,2015-03-20T22:38:06.783Z,"8km SW of Lytle Creek, California",earthquake
2015-03-20T16:36:50.270Z,38.8273315,-122.8508301,2.3,0.47,md,16,76,0.004725,0.02,nc,nc72414555,2015-03-20T16:38:25.520Z,"9km NW of The Geysers, California",earthquake
2015-03-20T16:29:10.960Z,48.7143333,-124.2986667,43.21,1.82,md,13,93,0.1533,0.18,uw,uw60986776,2015-03-20T17:48:21.370Z,"21km SW of Lake Cowichan, Canada",earthquake
2015-03-20T16:28:47.380Z,38.8375015,-122.8003311,2.48,0.51,md,9,114,0.007852,0.01,nc,nc72414550,2015-03-20T17:12:04.994Z,"6km WNW of Cobb, California",earthquake
2015-03-20T16:27:11.660Z,38.8295,-122.804,2.31,0.43,md,23,41,0.007725,0.01,nc,nc72414545,2015-03-21T03:59:05.594Z,"7km W of Cobb, California",earthquake
2015-03-20T16:19:45.000Z,63.6124,-150.795,8.3,1.8,ml,,,,0.78,ak,ak11532527,2015-03-20T16:49:30.292Z,"94km WSW of Healy, Alaska",earthquake
2015-03-20T16:15:57.000Z,62.2688,-141.0628,12,2.5,ml,,,,1.18,ak,ak11532523,2015-03-21T00:18:26.327Z,"154km SE of Tok, Alaska",earthquake
2015-03-20T16:15:52.270Z,35.8513333,-117.8213333,4.28,0.52,ml,18,60,0.06266,0.15,ci,ci37344112,2015-03-20T22:30:27.797Z,"12km SE of Little Lake, California",earthquake
2015-03-20T16:12:21.170Z,36.024,-117.8223333,1.99,1.04,ml,12,77,0.04284,0.16,ci,ci37344104,2015-03-20T23:39:10.637Z,"12km ESE of Coso Junction, California",earthquake
2015-03-20T16:01:47.920Z,46.8828333,-123.7611667,36.2,1.64,md,15,168,0.1797,0.2,uw,uw60986756,2015-03-20T17:43:42.570Z,"8km S of Cosmopolis, Washington",earthquake
2015-03-20T15:43:09.792Z,38.2386,-118.3809,4.4445,0.76,ml,4,183.58,0.098,0.0668,nn,nn00487517,2015-03-20T23:03:42.112Z,"38km SE of Hawthorne, Nevada",earthquake
2015-03-20T15:42:52.450Z,-4.7736,154.8365,25.72,5.5,mwb,,26,2.726,0.93,us,us10001p6f,2015-03-20T23:45:20.683Z,"177km NNW of Arawa, Papua New Guinea",earthquake
